# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
0 2.8784924479e+03 0.0000000000e+00 3.3278042259e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
1 2.8739057954e+03 0.0000000000e+00 3.3317660810e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
2 2.8066029998e+03 0.0000000000e+00 3.3886545030e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
3 2.7845821868e+03 0.0000000000e+00 3.4067729282e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
4 2.7909052300e+03 0.0000000000e+00 3.4015948812e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
5 2.7737527689e+03 0.0000000000e+00 3.4155958947e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
6 2.7933554331e+03 0.0000000000e+00 3.3995830867e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
7 2.8664881851e+03 0.0000000000e+00 3.3381499702e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
8 2.8362258072e+03 0.0000000000e+00 3.3638999553e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
9 2.8320378484e+03 0.0000000000e+00 3.3674265195e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
10 2.8394911187e+03 0.0000000000e+00 3.3611441394e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
11 2.8815920208e+03 0.0000000000e+00 3.3251206241e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
12 2.8825441929e+03 0.0000000000e+00 3.3242952208e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
13 2.8237833695e+03 0.0000000000e+00 3.3743513778e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
14 2.8462471501e+03 0.0000000000e+00 3.3554249954e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
15 2.8778095934e+03 0.0000000000e+00 3.3283947607e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
16 2.8574436974e+03 0.0000000000e+00 3.3458952845e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
17 2.8134041943e+03 0.0000000000e+00 3.3830099879e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
18 2.8462931546e+03 0.0000000000e+00 3.3553859714e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
19 2.7874668786e+03 0.0000000000e+00 3.4044130389e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
